,tweet,tidy_tweet,no_hash_tweet,tokenized_tweet,stemmed_tokens,lemmatized_tokens,lem_tweet,stem_tweet
0,So Robert Mueller has now asked for his long time Never Trumper lawyer to sit beside him and help with answers. What’s this all about? His lawyer represented the “basement server guy” who got off free in the Crooked Hillary case. This should NOT be allowed. Rigged Witch Hunt!,Robert Mueller asked long time Never Trumper lawyer beside help with answers What this about lawyer represented basement server free Crooked Hillary case This should allowed Rigged Witch Hunt,Robert Mueller asked long time Never Trumper lawyer beside help with answers What this about lawyer represented basement server free Crooked Hillary case This should allowed Rigged Witch Hunt,"['Robert', 'Mueller', 'asked', 'long', 'time', 'Never', 'Trumper', 'lawyer', 'beside', 'help', 'with', 'answers', 'What', 'this', 'about', 'lawyer', 'represented', 'basement', 'server', 'free', 'Crooked', 'Hillary', 'case', 'This', 'should', 'allowed', 'Rigged', 'Witch', 'Hunt']","['robert', 'mueller', 'ask', 'long', 'time', 'never', 'trumper', 'lawyer', 'besid', 'help', 'with', 'answer', 'what', 'this', 'about', 'lawyer', 'repres', 'basement', 'server', 'free', 'crook', 'hillari', 'case', 'this', 'should', 'allow', 'rig', 'witch', 'hunt']","['Robert', 'Mueller', 'asked', 'long', 'time', 'Never', 'Trumper', 'lawyer', 'beside', 'help', 'with', 'answer', 'What', 'this', 'about', 'lawyer', 'represented', 'basement', 'server', 'free', 'Crooked', 'Hillary', 'case', 'This', 'should', 'allowed', 'Rigged', 'Witch', 'Hunt']",Robert Mueller asked long time Never Trumper lawyer beside help with answers What this about lawyer represented basement server free Crooked Hillary case This should allowed Rigged Witch Hunt,robert mueller asked long time never trumper lawyer beside help with answers what this about lawyer represented basement server free crooked hillary case this should allowed rigged witch hunt
1,"The young leaders here today (@TPUSA) are part of a movement unlike anything in the history of our nation. It is a movement about reclaiming YOUR future, rebuilding YOUR Country, restoring YOUR destiny, and renewing the values that are the true source of American GREATNESS!pic.twitter.com/unURpLS8Lc",young leaders here today part movement unlike anything history nation movement about reclaiming YOUR future rebuilding YOUR Country restoring YOUR destiny renewing values that true source American GREATNESS twitter unURpLS,young leaders here today part movement unlike anything history nation movement about reclaiming YOUR future rebuilding YOUR Country restoring YOUR destiny renewing values that true source American GREATNESS twitter unURpLS,"['young', 'leaders', 'here', 'today', 'part', 'movement', 'unlike', 'anything', 'history', 'nation', 'movement', 'about', 'reclaiming', 'YOUR', 'future', 'rebuilding', 'YOUR', 'Country', 'restoring', 'YOUR', 'destiny', 'renewing', 'values', 'that', 'true', 'source', 'American', 'GREATNESS', 'twitter', 'unURpLS']","['young', 'leader', 'here', 'today', 'part', 'movement', 'unlik', 'anyth', 'histori', 'nation', 'movement', 'about', 'reclaim', 'your', 'futur', 'rebuild', 'your', 'countri', 'restor', 'your', 'destini', 'renew', 'valu', 'that', 'true', 'sourc', 'american', 'great', 'twitter', 'unurpl']","['young', 'leader', 'here', 'today', 'part', 'movement', 'unlike', 'anything', 'history', 'nation', 'movement', 'about', 'reclaiming', 'YOUR', 'future', 'rebuilding', 'YOUR', 'Country', 'restoring', 'YOUR', 'destiny', 'renewing', 'value', 'that', 'true', 'source', 'American', 'GREATNESS', 'twitter', 'unURpLS']",young leaders here today part movement unlike anything history nation movement about reclaiming YOUR future rebuilding YOUR Country restoring YOUR destiny renewing values that true source American GREATNESS twitter unURpLS,young leaders here today part movement unlike anything history nation movement about reclaiming your future rebuilding your country restoring your destiny renewing values that true source american greatness twitter unurpl
2,"Congratulations to our new Secretary of Defense, Mark @EsperDoD!pic.twitter.com/aT3D1ZX5KK",Congratulations Secretary Defense Mark twitter,Congratulations Secretary Defense Mark twitter,"['Congratulations', 'Secretary', 'Defense', 'Mark', 'twitter']","['congratul', 'secretari', 'defens', 'mark', 'twitter']","['Congratulations', 'Secretary', 'Defense', 'Mark', 'twitter']",Congratulations Secretary Defense Mark twitter,congratulations secretary defense mark twitt
3,"Oh well, we still have the great @seanhannity who I hear has a really strong show tonight. 9:00 P.M.",well still have great hear really strong show tonight,well still have great hear really strong show tonight,"['well', 'still', 'have', 'great', 'hear', 'really', 'strong', 'show', 'tonight']","['well', 'still', 'have', 'great', 'hear', 'realli', 'strong', 'show', 'tonight']","['well', 'still', 'have', 'great', 'hear', 'really', 'strong', 'show', 'tonight']",well still have great hear really strong show tonight,well still have great hear really strong show tonight
4,THANK YOU @TPUSA! #MAGApic.twitter.com/1eqR2Im8dQ,THANK #MAGApic twitter,THANK MAGApic twitter,"['THANK', 'MAGApic', 'twitter']","['thank', 'magap', 'twitter']","['THANK', 'MAGApic', 'twitter']",THANK MAGApic twitter,thank magapic twitt
5,Just watched Rep. Eric Swalwell be asked endless softball questions by @marthamaccallum on @FoxNews about the phony Witch Hunt. He was just forced out of the Democrat Presidential Primary because he polled at ZERO. Fox sure ain’t what it used to be. Too bad!,Just watched Eric Swalwell asked endless softball questions about phony Witch Hunt just forced Democrat Presidential Primary because polled ZERO sure what used,Just watched Eric Swalwell asked endless softball questions about phony Witch Hunt just forced Democrat Presidential Primary because polled ZERO sure what used,"['Just', 'watched', 'Eric', 'Swalwell', 'asked', 'endless', 'softball', 'questions', 'about', 'phony', 'Witch', 'Hunt', 'just', 'forced', 'Democrat', 'Presidential', 'Primary', 'because', 'polled', 'ZERO', 'sure', 'what', 'used']","['just', 'watch', 'eric', 'swalwel', 'ask', 'endless', 'softbal', 'question', 'about', 'phoni', 'witch', 'hunt', 'just', 'forc', 'democrat', 'presidenti', 'primari', 'becaus', 'poll', 'zero', 'sure', 'what', 'use']","['Just', 'watched', 'Eric', 'Swalwell', 'asked', 'endless', 'softball', 'question', 'about', 'phony', 'Witch', 'Hunt', 'just', 'forced', 'Democrat', 'Presidential', 'Primary', 'because', 'polled', 'ZERO', 'sure', 'what', 'used']",Just watched Eric Swalwell asked endless softball questions about phony Witch Hunt just forced Democrat Presidential Primary because polled ZERO sure what used,just watched eric swalwell asked endless softball questions about phony witch hunt just forced democrat presidential primary because polled zero sure what us
6,"Just got back only to hear of a last minute change allowing a Never Trumper attorney to help Robert Mueller with his testimony before Congress tomorrow. What a disgrace to our system. Never heard of this before. VERY UNFAIR, SHOULD NOT BE ALLOWED. A rigged Witch Hunt!",Just back only hear last minute change allowing Never Trumper attorney help Robert Mueller with testimony before Congress tomorrow What disgrace system Never heard this before VERY UNFAIR SHOULD ALLOWED rigged Witch Hunt,Just back only hear last minute change allowing Never Trumper attorney help Robert Mueller with testimony before Congress tomorrow What disgrace system Never heard this before VERY UNFAIR SHOULD ALLOWED rigged Witch Hunt,"['Just', 'back', 'only', 'hear', 'last', 'minute', 'change', 'allowing', 'Never', 'Trumper', 'attorney', 'help', 'Robert', 'Mueller', 'with', 'testimony', 'before', 'Congress', 'tomorrow', 'What', 'disgrace', 'system', 'Never', 'heard', 'this', 'before', 'VERY', 'UNFAIR', 'SHOULD', 'ALLOWED', 'rigged', 'Witch', 'Hunt']","['just', 'back', 'onli', 'hear', 'last', 'minut', 'chang', 'allow', 'never', 'trumper', 'attorney', 'help', 'robert', 'mueller', 'with', 'testimoni', 'befor', 'congress', 'tomorrow', 'what', 'disgrac', 'system', 'never', 'heard', 'this', 'befor', 'veri', 'unfair', 'should', 'allow', 'rig', 'witch', 'hunt']","['Just', 'back', 'only', 'hear', 'last', 'minute', 'change', 'allowing', 'Never', 'Trumper', 'attorney', 'help', 'Robert', 'Mueller', 'with', 'testimony', 'before', 'Congress', 'tomorrow', 'What', 'disgrace', 'system', 'Never', 'heard', 'this', 'before', 'VERY', 'UNFAIR', 'SHOULD', 'ALLOWED', 'rigged', 'Witch', 'Hunt']",Just back only hear last minute change allowing Never Trumper attorney help Robert Mueller with testimony before Congress tomorrow What disgrace system Never heard this before VERY UNFAIR SHOULD ALLOWED rigged Witch Hunt,just back only hear last minute change allowing never trumper attorney help robert mueller with testimony before congress tomorrow what disgrace system never heard this before very unfair should allowed rigged witch hunt
7,"Budget Deal gives great victories to our Military and Vets, keeps out Democrat poison pill riders. Republicans and Democrats in Congress need to act ASAP and support this deal.",Budget Deal gives great victories Military Vets keeps Democrat poison pill riders Republicans Democrats Congress need ASAP support this deal,Budget Deal gives great victories Military Vets keeps Democrat poison pill riders Republicans Democrats Congress need ASAP support this deal,"['Budget', 'Deal', 'gives', 'great', 'victories', 'Military', 'Vets', 'keeps', 'Democrat', 'poison', 'pill', 'riders', 'Republicans', 'Democrats', 'Congress', 'need', 'ASAP', 'support', 'this', 'deal']","['budget', 'deal', 'give', 'great', 'victori', 'militari', 'vet', 'keep', 'democrat', 'poison', 'pill', 'rider', 'republican', 'democrat', 'congress', 'need', 'asap', 'support', 'this', 'deal']","['Budget', 'Deal', 'give', 'great', 'victory', 'Military', 'Vets', 'keep', 'Democrat', 'poison', 'pill', 'rider', 'Republicans', 'Democrats', 'Congress', 'need', 'ASAP', 'support', 'this', 'deal']",Budget Deal gives great victories Military Vets keeps Democrat poison pill riders Republicans Democrats Congress need ASAP support this deal,budget deal gives great victories military vets keeps democrat poison pill riders republicans democrats congress need asap support this d
8,"....I got to know him over his many years as Chairman of the Police Athletic League, for which he devoted so much time and energy. Bob Morgenthau, a legend, will be greatly missed!",know over many years Chairman Police Athletic League which devoted much time energy Morgenthau legend will greatly missed,know over many years Chairman Police Athletic League which devoted much time energy Morgenthau legend will greatly missed,"['know', 'over', 'many', 'years', 'Chairman', 'Police', 'Athletic', 'League', 'which', 'devoted', 'much', 'time', 'energy', 'Morgenthau', 'legend', 'will', 'greatly', 'missed']","['know', 'over', 'mani', 'year', 'chairman', 'polic', 'athlet', 'leagu', 'which', 'devot', 'much', 'time', 'energi', 'morgenthau', 'legend', 'will', 'great', 'miss']","['know', 'over', 'many', 'year', 'Chairman', 'Police', 'Athletic', 'League', 'which', 'devoted', 'much', 'time', 'energy', 'Morgenthau', 'legend', 'will', 'greatly', 'missed']",know over many years Chairman Police Athletic League which devoted much time energy Morgenthau legend will greatly missed,know over many years chairman police athletic league which devoted much time energy morgenthau legend will greatly miss
9,"I was saddened to learn of the recent passing of Bob Morgenthau, a truly great man! Bob served as a Naval Officer in World War II, was an extraordinary US Attorney, Manhattan District Attorney, and always a warrior for our Country that he loved so dearly....",saddened learn recent passing Morgenthau truly great served Naval Officer World extraordinary Attorney Manhattan District Attorney always warrior Country that loved dearly,saddened learn recent passing Morgenthau truly great served Naval Officer World extraordinary Attorney Manhattan District Attorney always warrior Country that loved dearly,"['saddened', 'learn', 'recent', 'passing', 'Morgenthau', 'truly', 'great', 'served', 'Naval', 'Officer', 'World', 'extraordinary', 'Attorney', 'Manhattan', 'District', 'Attorney', 'always', 'warrior', 'Country', 'that', 'loved', 'dearly']","['sadden', 'learn', 'recent', 'pass', 'morgenthau', 'truli', 'great', 'serv', 'naval', 'offic', 'world', 'extraordinari', 'attorney', 'manhattan', 'district', 'attorney', 'alway', 'warrior', 'countri', 'that', 'love', 'dear']","['saddened', 'learn', 'recent', 'passing', 'Morgenthau', 'truly', 'great', 'served', 'Naval', 'Officer', 'World', 'extraordinary', 'Attorney', 'Manhattan', 'District', 'Attorney', 'always', 'warrior', 'Country', 'that', 'loved', 'dearly']",saddened learn recent passing Morgenthau truly great served Naval Officer World extraordinary Attorney Manhattan District Attorney always warrior Country that loved dearly,saddened learn recent passing morgenthau truly great served naval officer world extraordinary attorney manhattan district attorney always warrior country that loved dear
10,Leaving for Turning Point USA. Will be speaking to some of the greatest and smartest young people on the planet. See you there!,Leaving Turning Point Will speaking some greatest smartest young people planet there,Leaving Turning Point Will speaking some greatest smartest young people planet there,"['Leaving', 'Turning', 'Point', 'Will', 'speaking', 'some', 'greatest', 'smartest', 'young', 'people', 'planet', 'there']","['leav', 'turn', 'point', 'will', 'speak', 'some', 'greatest', 'smartest', 'young', 'peopl', 'planet', 'there']","['Leaving', 'Turning', 'Point', 'Will', 'speaking', 'some', 'greatest', 'smartest', 'young', 'people', 'planet', 'there']",Leaving Turning Point Will speaking some greatest smartest young people planet there,leaving turning point will speaking some greatest smartest young people planet ther
11,"When an old Wall at the Southern Border, that is crumbling and falling over, built in an important section to keep out problems, is replaced with a brand new 30 foot high steel and concrete Wall, the Media says no new Wall has been built. Fake News! Building lots of Wall!",When Wall Southern Border that crumbling falling over built important section keep problems replaced with brand foot high steel concrete Wall Media says Wall been built Fake News Building lots Wall,When Wall Southern Border that crumbling falling over built important section keep problems replaced with brand foot high steel concrete Wall Media says Wall been built Fake News Building lots Wall,"['When', 'Wall', 'Southern', 'Border', 'that', 'crumbling', 'falling', 'over', 'built', 'important', 'section', 'keep', 'problems', 'replaced', 'with', 'brand', 'foot', 'high', 'steel', 'concrete', 'Wall', 'Media', 'says', 'Wall', 'been', 'built', 'Fake', 'News', 'Building', 'lots', 'Wall']","['when', 'wall', 'southern', 'border', 'that', 'crumbl', 'fall', 'over', 'built', 'import', 'section', 'keep', 'problem', 'replac', 'with', 'brand', 'foot', 'high', 'steel', 'concret', 'wall', 'media', 'say', 'wall', 'been', 'built', 'fake', 'news', 'build', 'lot', 'wall']","['When', 'Wall', 'Southern', 'Border', 'that', 'crumbling', 'falling', 'over', 'built', 'important', 'section', 'keep', 'problem', 'replaced', 'with', 'brand', 'foot', 'high', 'steel', 'concrete', 'Wall', 'Media', 'say', 'Wall', 'been', 'built', 'Fake', 'News', 'Building', 'lot', 'Wall']",When Wall Southern Border that crumbling falling over built important section keep problems replaced with brand foot high steel concrete Wall Media says Wall been built Fake News Building lots Wall,when wall southern border that crumbling falling over built important section keep problems replaced with brand foot high steel concrete wall media says wall been built fake news building lots wal
12,"In 2016 I almost won Minnesota. In 2020, because of America hating anti-Semite Rep. Omar, & the fact that Minnesota is having its best economic year ever, I will win the State! “We are going to be a nightmare to the President,” she say. No, AOC Plus 3 are a Nightmare for America!",almost Minnesota because America hating anti Semite Omar fact that Minnesota having best economic year ever will State going nightmare President Plus Nightmare America,almost Minnesota because America hating anti Semite Omar fact that Minnesota having best economic year ever will State going nightmare President Plus Nightmare America,"['almost', 'Minnesota', 'because', 'America', 'hating', 'anti', 'Semite', 'Omar', 'fact', 'that', 'Minnesota', 'having', 'best', 'economic', 'year', 'ever', 'will', 'State', 'going', 'nightmare', 'President', 'Plus', 'Nightmare', 'America']","['almost', 'minnesota', 'becaus', 'america', 'hate', 'anti', 'semit', 'omar', 'fact', 'that', 'minnesota', 'have', 'best', 'econom', 'year', 'ever', 'will', 'state', 'go', 'nightmar', 'presid', 'plus', 'nightmar', 'america']","['almost', 'Minnesota', 'because', 'America', 'hating', 'anti', 'Semite', 'Omar', 'fact', 'that', 'Minnesota', 'having', 'best', 'economic', 'year', 'ever', 'will', 'State', 'going', 'nightmare', 'President', 'Plus', 'Nightmare', 'America']",almost Minnesota because America hating anti Semite Omar fact that Minnesota having best economic year ever will State going nightmare President Plus Nightmare America,almost minnesota because america hating anti semite omar fact that minnesota having best economic year ever will state going nightmare president plus nightmare america
13,"....Tariffs, Remittance Fees, or all of the above. Guatemala has not been good. Big U.S. taxpayer dollars going to them was cut off by me 9 months ago.",Tariffs Remittance Fees above Guatemala been good taxpayer dollars going them months,Tariffs Remittance Fees above Guatemala been good taxpayer dollars going them months,"['Tariffs', 'Remittance', 'Fees', 'above', 'Guatemala', 'been', 'good', 'taxpayer', 'dollars', 'going', 'them', 'months']","['tariff', 'remitt', 'fee', 'abov', 'guatemala', 'been', 'good', 'taxpay', 'dollar', 'go', 'them', 'month']","['Tariffs', 'Remittance', 'Fees', 'above', 'Guatemala', 'been', 'good', 'taxpayer', 'dollar', 'going', 'them', 'month']",Tariffs Remittance Fees above Guatemala been good taxpayer dollars going them months,tariffs remittance fees above guatemala been good taxpayer dollars going them month
14,"Guatemala, which has been forming Caravans and sending large numbers of people, some with criminal records, to the United States, has decided to break the deal they had with us on signing a necessary Safe Third Agreement. We were ready to go. Now we are looking at the “BAN,”....",Guatemala which been forming Caravans sending large numbers people some with criminal records United States decided break deal they with signing necessary Safe Third Agreement were ready looking,Guatemala which been forming Caravans sending large numbers people some with criminal records United States decided break deal they with signing necessary Safe Third Agreement were ready looking,"['Guatemala', 'which', 'been', 'forming', 'Caravans', 'sending', 'large', 'numbers', 'people', 'some', 'with', 'criminal', 'records', 'United', 'States', 'decided', 'break', 'deal', 'they', 'with', 'signing', 'necessary', 'Safe', 'Third', 'Agreement', 'were', 'ready', 'looking']","['guatemala', 'which', 'been', 'form', 'caravan', 'send', 'larg', 'number', 'peopl', 'some', 'with', 'crimin', 'record', 'unit', 'state', 'decid', 'break', 'deal', 'they', 'with', 'sign', 'necessari', 'safe', 'third', 'agreement', 'were', 'readi', 'look']","['Guatemala', 'which', 'been', 'forming', 'Caravans', 'sending', 'large', 'number', 'people', 'some', 'with', 'criminal', 'record', 'United', 'States', 'decided', 'break', 'deal', 'they', 'with', 'signing', 'necessary', 'Safe', 'Third', 'Agreement', 'were', 'ready', 'looking']",Guatemala which been forming Caravans sending large numbers people some with criminal records United States decided break deal they with signing necessary Safe Third Agreement were ready looking,guatemala which been forming caravans sending large numbers people some with criminal records united states decided break deal they with signing necessary safe third agreement were ready look
15,"Farmers are starting to do great again, after 15 years of a downward spiral. The 16 Billion Dollar China “replacement” money didn’t exactly hurt!",Farmers starting great again after years downward spiral Billion Dollar China replacement money didn exactly hurt,Farmers starting great again after years downward spiral Billion Dollar China replacement money didn exactly hurt,"['Farmers', 'starting', 'great', 'again', 'after', 'years', 'downward', 'spiral', 'Billion', 'Dollar', 'China', 'replacement', 'money', 'didn', 'exactly', 'hurt']","['farmer', 'start', 'great', 'again', 'after', 'year', 'downward', 'spiral', 'billion', 'dollar', 'china', 'replac', 'money', 'didn', 'exact', 'hurt']","['Farmers', 'starting', 'great', 'again', 'after', 'year', 'downward', 'spiral', 'Billion', 'Dollar', 'China', 'replacement', 'money', 'didn', 'exactly', 'hurt']",Farmers starting great again after years downward spiral Billion Dollar China replacement money didn exactly hurt,farmers starting great again after years downward spiral billion dollar china replacement money didn exactly hurt
16,KEEP AMERICA GREAT!,KEEP AMERICA GREAT,KEEP AMERICA GREAT,"['KEEP', 'AMERICA', 'GREAT']","['keep', 'america', 'great']","['KEEP', 'AMERICA', 'GREAT']",KEEP AMERICA GREAT,keep america great
