,COUNT_VECTORIZER,TFIDF_VECTORIZER,TFIDF_NGRAM_1_2,TFIDF_NGRAM_2_3
Train Accuracy,0.99,0.99,0.99,0.95
Train F1,0.95,0.94,0.94,0.41
Train Precision,1.0,1.0,1.0,0.92
Train Recall,0.91,0.89,0.89,0.26
Validation Accuracy,0.96,0.95,0.96,0.93
Validation F1,0.61,0.55,0.58,0.2
Validation Precision,0.93,0.84,0.86,0.64
Validation Recall,0.45,0.41,0.44,0.12
,COUNT_VECTORIZER,TFIDF_VECTORIZER,TFIDF_NGRAM_1_2,TFIDF_NGRAM_2_3
Train Accuracy,0.99,0.99,0.99,0.61
Train F1,0.95,0.94,0.94,0.25
Train Precision,1.0,0.98,0.98,0.14
Train Recall,0.91,0.9,0.91,0.91
Validation Accuracy,0.96,0.95,0.95,0.6
Validation F1,0.54,0.54,0.55,0.21
Validation Precision,0.98,0.84,0.84,0.12
Validation Recall,0.37,0.4,0.41,0.77
,COUNT_VECTORIZER,TFIDF_VECTORIZER,TFIDF_NGRAM_1_2,TFIDF_NGRAM_2_3
Train Accuracy,1.0,1.0,1.0,0.85
Train F1,1.0,1.0,1.0,0.83
Train Precision,1.0,1.0,1.0,0.94
Train Recall,1.0,1.0,1.0,0.75
Validation Accuracy,0.96,0.95,0.95,0.9
Validation F1,0.59,0.61,0.59,0.38
Validation Precision,0.93,0.75,0.77,0.33
Validation Recall,0.43,0.52,0.48,0.43
,COUNT_VECTORIZER,TFIDF_VECTORIZER,TFIDF_NGRAM_1_2,TFIDF_NGRAM_2_3
Train Accuracy,0.99,0.99,0.99,0.87
Train F1,0.99,0.99,0.99,0.85
Train Precision,1.0,1.0,1.0,0.97
Train Recall,0.98,0.98,0.98,0.76
Validation Accuracy,0.86,0.84,0.83,0.8
Validation F1,0.42,0.39,0.38,0.26
Validation Precision,0.3,0.27,0.26,0.18
Validation Recall,0.73,0.74,0.74,0.5
,COUNT_VECTORIZER,TFIDF_VECTORIZER,TFIDF_NGRAM_1_2,TFIDF_NGRAM_2_3
Train Accuracy,0.99,1.0,1.0,0.64
Train F1,0.96,0.99,0.99,0.25
Train Precision,0.95,0.98,0.99,0.15
Train Recall,0.96,0.99,0.99,0.86
Validation Accuracy,0.89,0.93,0.94,0.59
Validation F1,0.42,0.51,0.53,0.2
Validation Precision,0.34,0.52,0.56,0.12
Validation Recall,0.55,0.5,0.5,0.72
